id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,r2,rmse,acc,auc,balacc,logloss
openml.org/t/190411,ada,autosklearn2,4h8c,6,binary,0.886451,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:30,14453.1,14407.6,0.6,11.0,2061097853,,,,,0.843373,0.886451,0.788524,0.351929
openml.org/t/190411,ada,autosklearn2,4h8c,7,binary,0.910655,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:28,14445.7,14400.9,0.6,11.0,2061097854,,,,,0.847826,0.910655,0.781834,0.317369
openml.org/t/190411,ada,autosklearn2,4h8c,8,binary,0.925608,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:31,14454.6,14407.7,1.0,13.0,2061097855,,,,,0.869565,0.925608,0.806044,0.291373
openml.org/t/190411,ada,autosklearn2,4h8c,9,binary,0.917986,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:36,14451.2,14405.6,0.4,10.0,2061097856,,,,,0.842995,0.917986,0.777055,0.315026
openml.org/t/359983,adult,autosklearn2,4h8c,0,binary,0.932538,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:47,14454.7,14400.5,3.1,13.0,2061097847,,,,,0.869191,0.932538,0.830469,0.280183
openml.org/t/359983,adult,autosklearn2,4h8c,1,binary,0.928703,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:52,14466.3,14409.0,5.2,15.0,2061097848,,,,,0.860798,0.928703,0.836093,0.292267
openml.org/t/359983,adult,autosklearn2,4h8c,2,binary,0.931059,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:43,14456.7,14401.2,3.7,16.0,2061097849,,,,,0.864455,0.931059,0.833728,0.284924
openml.org/t/359983,adult,autosklearn2,4h8c,3,binary,0.927507,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:59,14479.3,14425.9,3.0,10.0,2061097850,,,,,0.854423,0.927507,0.833005,0.299231
openml.org/t/359983,adult,autosklearn2,4h8c,4,binary,0.927674,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:53,14466.1,14403.5,7.0,16.0,2061097851,,,,,0.861384,0.927674,0.817326,0.284528
openml.org/t/359983,adult,autosklearn2,4h8c,5,binary,0.924797,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:15,14489.6,14433.5,4.0,16.0,2061097852,,,,,0.859337,0.924797,0.821651,0.291721
openml.org/t/359983,adult,autosklearn2,4h8c,6,binary,0.931304,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:36,14455.1,14401.7,3.5,14.0,2061097853,,,,,0.847461,0.931304,0.837881,0.301535
openml.org/t/359983,adult,autosklearn2,4h8c,7,binary,0.932303,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:25,14493.3,14436.5,4.1,13.0,2061097854,,,,,0.864046,0.932303,0.832368,0.283892
openml.org/t/359983,adult,autosklearn2,4h8c,8,binary,0.939226,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:40,14453.0,14397.9,3.9,16.0,2061097855,,,,,0.875512,0.939226,0.842543,0.269852
openml.org/t/359983,adult,autosklearn2,4h8c,9,binary,0.934309,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:24:57,14459.9,14402.6,4.6,15.0,2061097856,,,,,0.869369,0.934309,0.829125,0.277158
openml.org/t/189354,airlines,autosklearn2,4h8c,0,binary,0.730039,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:26:31,14522.6,14419.5,24.1,11.0,2061097847,,,,,0.672871,0.730039,0.661125,0.600497
openml.org/t/189354,airlines,autosklearn2,4h8c,1,binary,0.72787,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:27:01,14548.1,14416.7,38.2,15.0,2061097848,,,,,0.673576,0.72787,0.661887,0.601542
openml.org/t/189354,airlines,autosklearn2,4h8c,2,binary,0.725929,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:26:18,14504.2,14398.3,24.9,16.0,2061097849,,,,,0.670294,0.725929,0.66195,0.604286
openml.org/t/189354,airlines,autosklearn2,4h8c,3,binary,0.728735,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:27:51,14598.2,14410.9,65.2,22.0,2061097850,,,,,0.673514,0.728735,0.66469,0.602403
openml.org/t/189354,airlines,autosklearn2,4h8c,4,binary,0.725292,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:26:57,14552.9,14425.0,36.6,16.0,2061097851,,,,,0.668434,0.725292,0.660511,0.604528
openml.org/t/189354,airlines,autosklearn2,4h8c,5,binary,0.724472,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:26:50,14527.7,14402.2,35.5,12.0,2061097852,,,,,0.671808,0.724472,0.659176,0.604346
openml.org/t/189354,airlines,autosklearn2,4h8c,6,binary,0.72641,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:27:08,14539.6,14405.6,39.0,13.0,2061097853,,,,,0.669454,0.72641,0.665108,0.606699
openml.org/t/189354,airlines,autosklearn2,4h8c,7,binary,0.726532,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:27:56,14585.2,14405.5,62.2,17.0,2061097854,,,,,0.673032,0.726532,0.660041,0.601665
openml.org/t/189354,airlines,autosklearn2,4h8c,8,binary,0.726907,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:26:23,14518.9,14404.9,30.2,20.0,2061097855,,,,,0.67166,0.726907,0.664926,0.604833
openml.org/t/189354,airlines,autosklearn2,4h8c,9,binary,0.730483,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:26:27,14514.9,14417.9,21.0,14.0,2061097856,,,,,0.675832,0.730483,0.663595,0.600627
openml.org/t/359929,Airlines_DepDelay_10M,autosklearn2,4h8c,0,regression,-28.2976,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:36:22,14779.1,14404.3,135.2,6.0,2061097847,,13.7015,0.0571925,28.2976,,,,
