dataset,task_type,model,seed,features,fi_mean,fi_pval,val_score,test_score
australian,shuffle_easy,NNFastAiTabularModel,0,"['A8', 'A14', 'A13', 'A10', 'A12', 'A4', 'A5', 'noise_2', 'A9', 'noise_1', 'noise_3', 'A6', 'A1', 'A2', 'A3', 'A7', 'A11']","[0.1236, 0.0264, 0.02, 0.0182, 0.0164, 0.0136, 0.0082, 0.0082, 0.0073, 0.0064, 0.0027, 0.0027, 0.0018, 0.0009, -0.0009, -0.0009, -0.0145]","[0.0, 0.0006, 0.0002, 0.0015, 0.001, 0.0009, 0.1394, 0.0207, 0.14, 0.0331, 0.3022, 0.2339, 0.2217, 0.4201, 0.6211, 0.547, 0.999]",0.8727,0.8696
australian,shuffle_easy,BaggedNNFastAiTabularModel,0,"['A8', 'A5', 'A14', 'A4', 'A7', 'noise_3', 'A3', 'A9', 'A10', 'A11', 'A2', 'A1', 'A12', 'A6', 'A13', 'noise_1', 'noise_2']","[0.141, 0.0262, 0.0233, 0.0195, 0.0152, 0.0131, 0.0088, 0.0088, 0.0068, 0.0063, 0.005, 0.0048, 0.0048, 0.0034, 0.0029, 0.0025, 0.0005]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0008, 0.0, 0.0, 0.0019, 0.0001, 0.0003, 0.002, 0.0016, 0.0261, 0.0287, 0.0087, 0.415]",0.8822,0.8768
australian,shuffle_hard,LGBModel,0,"['A8', 'A13', 'A14', 'A3', 'A6', 'A5', 'A9', 'A2', 'A10', 'A11', 'noise_13', 'A7', 'noise_3', 'noise_5', 'noise_8', 'A4', 'noise_14', 'A12', 'noise_1', 'noise_2', 'noise_12', 'noise_11', 'noise_10', 'noise_9', 'noise_7', 'noise_6', 'noise_4', 'A1']","[0.25, 0.0436, 0.0264, 0.0245, 0.0209, 0.0191, 0.0191, 0.0164, 0.0118, 0.0118, 0.0118, 0.0091, 0.0064, 0.0064, 0.0055, 0.0027, 0.0027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0001, 0.0, 0.0, 0.0199, 0.0002, 0.0, 0.0001, 0.0001, 0.0031, 0.0424, 0.0124, 0.0007, 0.0026, 0.0406, 0.0967, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.9091,0.8551
australian,shuffle_hard,BaggedLGBModel,0,"['A8', 'A13', 'A5', 'A14', 'A9', 'A7', 'A3', 'A2', 'A10', 'noise_3', 'noise_13', 'A4', 'noise_5', 'noise_14', 'noise_10', 'noise_8', 'noise_2', 'noise_7', 'A6', 'A11', 'noise_1', 'noise_12', 'noise_11', 'noise_9', 'noise_6', 'A12', 'noise_4', 'A1']","[0.2876, 0.0335, 0.0308, 0.0258, 0.0244, 0.0143, 0.014, 0.0106, 0.0075, 0.007, 0.0059, 0.0057, 0.0052, 0.0045, 0.0043, 0.0029, 0.0029, 0.0018, 0.0016, 0.0014, 0.0009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0001, 0.0, 0.0, 0.0001, 0.0, 0.0001, 0.0004, 0.0001, 0.0443, 0.0557, 0.0184, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.8841,0.8623
australian,shuffle_hard,NNFastAiTabularModel,0,"['A8', 'noise_8', 'A14', 'noise_6', 'A1', 'noise_5', 'noise_13', 'A9', 'A10', 'noise_11', 'A2', 'noise_10', 'A3', 'noise_12', 'A5', 'A4', 'noise_2', 'A6', 'noise_4', 'noise_3', 'A13', 'A7', 'A11', 'noise_14', 'noise_1', 'noise_7', 'A12', 'noise_9']","[0.0891, 0.0064, 0.0045, 0.0027, 0.0027, 0.0018, 0.0018, 0.0009, -0.0, -0.0009, -0.0009, -0.0018, -0.0027, -0.0045, -0.0055, -0.0055, -0.0064, -0.0073, -0.0073, -0.0082, -0.0091, -0.0091, -0.0118, -0.0118, -0.0118, -0.0145, -0.0182, -0.0191]","[0.0, 0.0007, 0.1904, 0.0406, 0.0967, 0.2955, 0.2777, 0.3902, 0.5, 0.6608, 0.6368, 0.9161, 0.7828, 0.9925, 0.8283, 0.9443, 0.9876, 0.9736, 0.9999, 0.9853, 0.984, 0.9114, 0.9996, 0.9991, 1.0, 0.9968, 0.9997, 1.0]",0.8364,0.8623
australian,shuffle_hard,BaggedNNFastAiTabularModel,0,"['A8', 'A5', 'A7', 'A9', 'A14', 'A4', 'noise_13', 'A12', 'noise_8', 'A10', 'A13', 'noise_4', 'noise_14', 'A11', 'A1', 'noise_11', 'noise_12', 'noise_10', 'noise_3', 'noise_9', 'noise_5', 'noise_1', 'noise_2', 'A3', 'A6', 'noise_6', 'noise_7', 'A2']","[0.0982, 0.0181, 0.0127, 0.0118, 0.0095, 0.0088, 0.0084, 0.007, 0.0032, 0.0029, 0.0027, 0.0025, 0.0025, 0.0018, 0.0016, 0.0014, 0.0011, 0.0007, 0.0007, 0.0002, 0.0, -0.0, -0.0, -0.0002, -0.0005, -0.0016, -0.0027, -0.0029]","[0.0, 0.0, 0.0003, 0.0, 0.0051, 0.0002, 0.0, 0.0008, 0.0022, 0.0846, 0.0292, 0.0034, 0.0511, 0.0982, 0.0765, 0.1086, 0.1222, 0.2481, 0.3485, 0.4201, 0.5, 0.5, 0.5, 0.5639, 0.6245, 0.9446, 0.9849, 0.9953]",0.8804,0.8551
higgs,original,LGBModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'jet_1_pt', 'm_jjj', 'm_jlv', 'lepton_pT', 'missing_energy_magnitude', 'jet_2_pt', 'lepton_eta', 'm_jj', 'm_lv', 'jet_2_b-tag', 'jet_1_eta', 'jet_4_pt', 'jet_1_b-tag', 'jet_2_eta', 'jet_4_b-tag', 'jet_3_pt', 'jet_3_eta', 'jet_3_b-tag', 'jet_4_eta', 'jet_4_phi', 'lepton_phi', 'jet_2_phi', 'jet_1_phi', 'missing_energy_phi', 'jet_3_phi']","[0.0975, 0.0677, 0.0591, 0.0303, 0.0279, 0.0258, 0.023, 0.0135, 0.0125, 0.0118, 0.011, 0.0061, 0.0051, 0.0045, 0.0036, 0.0036, 0.0033, 0.0032, 0.0032, 0.003, 0.0025, 0.002, 0.0018, 0.0016, 0.0015, 0.0014, 0.0009, -0.0001]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0003, 0.0001, 0.0003, 0.0005, 0.0008, 0.0003, 0.0013, 0.0041, 0.001, 0.0063, 0.0462, 0.0454, 0.015, 0.1948, 0.5603]",0.7502,0.748
higgs,original,BaggedLGBModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'm_jjj', 'jet_1_pt', 'm_jlv', 'lepton_pT', 'm_jj', 'jet_2_pt', 'missing_energy_magnitude', 'lepton_eta', 'jet_3_pt', 'm_lv', 'jet_4_pt', 'jet_1_eta', 'jet_2_eta', 'jet_3_eta', 'jet_4_eta', 'lepton_phi', 'jet_3_phi', 'jet_2_phi', 'jet_1_phi', 'missing_energy_phi', 'jet_4_phi', 'jet_3_b-tag', 'jet_4_b-tag', 'jet_1_b-tag', 'jet_2_b-tag']","[0.1222, 0.0886, 0.086, 0.0478, 0.0459, 0.0429, 0.0399, 0.0286, 0.026, 0.0254, 0.0248, 0.0157, 0.0156, 0.0148, 0.0147, 0.0127, 0.0126, 0.0118, 0.0112, 0.0105, 0.0103, 0.0103, 0.0097, 0.0095, 0.006, 0.0056, 0.0051, 0.0045]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0]",0.7494,0.7511
higgs,original,NNFastAiTabularModel,0,"['m_bb', 'm_wbb', 'm_wwbb', 'jet_1_pt', 'm_jjj', 'lepton_pT', 'm_jlv', 'm_jj', 'missing_energy_magnitude', 'lepton_eta', 'jet_2_pt', 'jet_1_eta', 'jet_1_b-tag', 'jet_3_pt', 'm_lv', 'jet_4_pt', 'jet_2_eta', 'jet_4_b-tag', 'jet_2_b-tag', 'jet_3_b-tag', 'jet_3_eta', 'jet_4_eta', 'jet_1_phi', 'jet_4_phi', 'jet_2_phi', 'jet_3_phi', 'missing_energy_phi', 'lepton_phi']","[0.0941, 0.0657, 0.0653, 0.0422, 0.0422, 0.0356, 0.0354, 0.0232, 0.0228, 0.0219, 0.0182, 0.0104, 0.0084, 0.008, 0.0074, 0.0058, 0.0057, 0.0053, 0.0053, 0.004, 0.0025, 0.0016, 0.0001, 0.0001, 0.0, -0.0, -0.0003, -0.0004]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0091, 0.0, 0.155, 0.3392, 0.5, 0.531, 0.8606, 0.9176]",0.7597,0.7598
higgs,original,BaggedNNFastAiTabularModel,0,"['m_bb', 'm_wbb', 'm_wwbb', 'm_jjj', 'jet_1_pt', 'lepton_pT', 'm_jlv', 'missing_energy_magnitude', 'm_jj', 'jet_2_pt', 'lepton_eta', 'jet_1_eta', 'jet_1_b-tag', 'm_lv', 'jet_3_pt', 'jet_2_eta', 'jet_4_pt', 'jet_2_b-tag', 'jet_3_b-tag', 'jet_4_b-tag', 'jet_3_eta', 'jet_4_eta', 'jet_4_phi', 'jet_3_phi', 'jet_2_phi', 'missing_energy_phi', 'jet_1_phi', 'lepton_phi']","[0.0982, 0.07, 0.0654, 0.0471, 0.0422, 0.0391, 0.0366, 0.0251, 0.0229, 0.0206, 0.019, 0.0131, 0.0123, 0.009, 0.0089, 0.0067, 0.0054, 0.005, 0.0039, 0.0032, 0.0017, 0.0009, 0.0002, 0.0002, 0.0, -0.0001, -0.0001, -0.0007]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0013, 0.001, 0.0038, 0.0075, 0.0361, 0.1893, 0.3164, 0.322, 0.5, 0.6348, 0.815, 0.979]",0.7592,0.7614
