dataset,task_type,model,seed,features,fi_mean,fi_pval,val_score,test_score
higgs,normal_easy,LGBModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'jet_1_pt', 'm_jjj', 'm_jlv', 'lepton_pT', 'jet_2_pt', 'missing_energy_magnitude', 'lepton_eta', 'm_jj', 'm_lv', 'jet_3_pt', 'jet_4_pt', 'jet_2_b-tag', 'jet_1_eta', 'jet_4_b-tag', 'jet_2_eta', 'jet_1_b-tag', 'jet_4_eta', 'jet_3_eta', 'lepton_phi', 'jet_3_b-tag', 'jet_2_phi', 'noise_5', 'missing_energy_phi', 'jet_1_phi', 'noise_6', 'noise_2', 'noise_1', 'noise_4', 'jet_3_phi', 'noise_3', 'jet_4_phi']","[0.0974, 0.0676, 0.0585, 0.0295, 0.0283, 0.0258, 0.0224, 0.0122, 0.0122, 0.0122, 0.0115, 0.0065, 0.0049, 0.0044, 0.004, 0.004, 0.0027, 0.0026, 0.0026, 0.0024, 0.0023, 0.0022, 0.0019, 0.0018, 0.0011, 0.001, 0.0008, 0.0007, 0.0006, 0.0006, 0.0004, 0.0003, 0.0003, -0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0005, 0.0006, 0.0, 0.0019, 0.0013, 0.0041, 0.0133, 0.0035, 0.0002, 0.0027, 0.0164, 0.0228, 0.0516, 0.1354, 0.059, 0.1294, 0.1603, 0.029, 0.211, 0.2454, 0.3192, 0.5167]",0.7488,0.7469
higgs,normal_easy,BaggedLGBModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'm_jjj', 'jet_1_pt', 'm_jlv', 'lepton_pT', 'm_jj', 'jet_2_pt', 'missing_energy_magnitude', 'lepton_eta', 'm_lv', 'jet_1_eta', 'jet_3_pt', 'jet_4_pt', 'jet_2_eta', 'jet_3_eta', 'jet_4_eta', 'lepton_phi', 'missing_energy_phi', 'jet_4_phi', 'jet_2_phi', 'jet_1_phi', 'jet_3_phi', 'noise_1', 'noise_4', 'noise_6', 'noise_2', 'noise_5', 'noise_3', 'jet_4_b-tag', 'jet_3_b-tag', 'jet_2_b-tag', 'jet_1_b-tag']","[0.1279, 0.0928, 0.0897, 0.0483, 0.0483, 0.0432, 0.041, 0.0294, 0.0269, 0.0263, 0.0262, 0.0178, 0.0156, 0.0149, 0.0145, 0.0137, 0.013, 0.0126, 0.0113, 0.011, 0.0108, 0.01, 0.0098, 0.0096, 0.009, 0.009, 0.0089, 0.0086, 0.008, 0.008, 0.0067, 0.0061, 0.0049, 0.0046]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0]",0.747,0.7493
higgs,normal_easy,NNFastAiTabularModel,0,"['m_bb', 'm_wbb', 'm_wwbb', 'jet_1_pt', 'm_jjj', 'lepton_pT', 'm_jlv', 'missing_energy_magnitude', 'lepton_eta', 'm_jj', 'jet_2_pt', 'jet_1_eta', 'jet_1_b-tag', 'm_lv', 'jet_3_pt', 'jet_4_pt', 'jet_2_b-tag', 'jet_2_eta', 'jet_4_b-tag', 'jet_3_b-tag', 'jet_3_eta', 'jet_4_eta', 'jet_1_phi', 'jet_4_phi', 'noise_1', 'jet_3_phi', 'jet_2_phi', 'noise_3', 'missing_energy_phi', 'noise_2', 'noise_6', 'noise_5', 'noise_4', 'lepton_phi']","[0.0975, 0.0664, 0.0593, 0.0425, 0.0419, 0.0369, 0.0359, 0.025, 0.0239, 0.0221, 0.0182, 0.0113, 0.0086, 0.0082, 0.0076, 0.0066, 0.0055, 0.0054, 0.0046, 0.0037, 0.0029, 0.0024, 0.0005, 0.0004, 0.0004, 0.0004, 0.0004, 0.0003, 0.0003, 0.0002, 0.0002, 0.0001, 0.0, -0.0003]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.013, 0.0041, 0.0608, 0.1121, 0.1111, 0.0613, 0.0944, 0.1699, 0.1923, 0.1663, 0.2375, 0.3799, 0.5, 0.8559]",0.7595,0.7575
higgs,normal_easy,BaggedNNFastAiTabularModel,0,"['m_bb', 'm_wbb', 'm_wwbb', 'm_jjj', 'jet_1_pt', 'lepton_pT', 'm_jlv', 'missing_energy_magnitude', 'm_jj', 'lepton_eta', 'jet_2_pt', 'jet_1_eta', 'jet_1_b-tag', 'jet_3_pt', 'm_lv', 'jet_2_eta', 'jet_2_b-tag', 'jet_4_pt', 'jet_4_b-tag', 'jet_3_b-tag', 'jet_3_eta', 'noise_5', 'noise_3', 'jet_4_eta', 'jet_1_phi', 'noise_2', 'noise_6', 'lepton_phi', 'noise_4', 'jet_4_phi', 'jet_2_phi', 'noise_1', 'jet_3_phi', 'missing_energy_phi']","[0.1, 0.0712, 0.0594, 0.0445, 0.0413, 0.0375, 0.0357, 0.0236, 0.0227, 0.0208, 0.0195, 0.0119, 0.0108, 0.0094, 0.0081, 0.0064, 0.0056, 0.0055, 0.0047, 0.0044, 0.0019, 0.0004, 0.0003, 0.0003, 0.0002, 0.0001, 0.0001, 0.0001, 0.0, -0.0001, -0.0002, -0.0005, -0.0006, -0.0006]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0001, 0.0164, 0.0779, 0.1473, 0.2574, 0.205, 0.2657, 0.2826, 0.4124, 0.1717, 0.7219, 0.8283, 0.9308, 0.9315, 0.9835]",0.7586,0.7612
higgs,normal_hard,LGBModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'jet_1_pt', 'm_jjj', 'm_jlv', 'lepton_pT', 'missing_energy_magnitude', 'jet_2_pt', 'm_jj', 'lepton_eta', 'm_lv', 'jet_3_pt', 'jet_2_b-tag', 'jet_4_b-tag', 'jet_4_pt', 'jet_3_eta', 'jet_1_b-tag', 'jet_1_eta', 'jet_3_b-tag', 'lepton_phi', 'noise_16', 'jet_2_phi', 'jet_2_eta', 'noise_8', 'jet_4_eta', 'noise_1', 'noise_4', 'noise_24', 'noise_23', 'missing_energy_phi', 'noise_2', 'noise_10', 'noise_22', 'noise_6', 'noise_3', 'noise_7', 'noise_5', 'noise_21', 'jet_1_phi', 'jet_4_phi', 'noise_15', 'noise_18', 'noise_27', 'noise_12', 'jet_3_phi', 'noise_25', 'noise_20', 'noise_17', 'noise_28', 'noise_9', 'noise_19', 'noise_26', 'noise_14', 'noise_11', 'noise_13']","[0.0967, 0.0727, 0.0562, 0.0291, 0.0282, 0.0247, 0.0198, 0.0124, 0.0118, 0.0108, 0.0093, 0.006, 0.0055, 0.004, 0.0035, 0.0032, 0.0032, 0.0025, 0.0025, 0.0023, 0.0015, 0.0013, 0.0012, 0.0011, 0.0011, 0.0011, 0.001, 0.001, 0.0009, 0.0008, 0.0007, 0.0006, 0.0006, 0.0005, 0.0004, 0.0003, 0.0003, 0.0003, 0.0003, 0.0002, 0.0002, 0.0002, 0.0002, 0.0001, 0.0001, 0.0001, 0.0001, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0001, -0.0002, -0.0003]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0003, 0.0042, 0.0007, 0.013, 0.0001, 0.0044, 0.0069, 0.0845, 0.0058, 0.0483, 0.001, 0.0611, 0.0273, 0.0264, 0.1427, 0.0096, 0.0608, 0.2047, 0.0734, 0.0672, 0.2009, 0.2565, 0.2654, 0.2955, 0.3509, 0.3022, 0.2873, 0.3492, 0.3882, 0.361, 0.4391, 0.4447, 0.5, 0.5, 0.5, 0.5, 0.5252, 0.6596, 0.7198, 0.821]",0.7448,0.7433
higgs,normal_hard,BaggedLGBModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'm_jjj', 'jet_1_pt', 'm_jlv', 'lepton_pT', 'missing_energy_magnitude', 'm_jj', 'jet_2_pt', 'lepton_eta', 'm_lv', 'jet_3_pt', 'jet_1_eta', 'jet_4_pt', 'jet_3_eta', 'jet_2_eta', 'jet_4_eta', 'jet_4_b-tag', 'lepton_phi', 'jet_4_phi', 'noise_20', 'noise_25', 'jet_2_phi', 'missing_energy_phi', 'noise_15', 'jet_2_b-tag', 'noise_12', 'noise_1', 'jet_3_b-tag', 'noise_14', 'noise_19', 'jet_3_phi', 'jet_1_phi', 'jet_1_b-tag', 'noise_13', 'noise_4', 'noise_23', 'noise_22', 'noise_2', 'noise_7', 'noise_5', 'noise_8', 'noise_24', 'noise_28', 'noise_21', 'noise_10', 'noise_11', 'noise_17', 'noise_26', 'noise_27', 'noise_16', 'noise_6', 'noise_18', 'noise_9', 'noise_3']","[0.1127, 0.0864, 0.0717, 0.0381, 0.0369, 0.0304, 0.0286, 0.0194, 0.0185, 0.0167, 0.0152, 0.0101, 0.0089, 0.0087, 0.0075, 0.0073, 0.0061, 0.0057, 0.0044, 0.0042, 0.004, 0.0036, 0.0034, 0.0034, 0.0034, 0.0033, 0.0033, 0.0033, 0.0033, 0.0033, 0.0033, 0.0032, 0.003, 0.003, 0.003, 0.003, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0028, 0.0028, 0.0028, 0.0028, 0.0027, 0.0027, 0.0027, 0.0026, 0.0024, 0.0024, 0.0022, 0.0022, 0.0021, 0.002, 0.002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0065, 0.0, 0.0, 0.0, 0.0, 0.0025, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0005, 0.0, 0.0, 0.0002, 0.0001, 0.0, 0.0003, 0.0, 0.0003]",0.7443,0.7456
higgs,normal_hard,NNFastAiTabularModel,0,"['m_bb', 'm_wbb', 'm_wwbb', 'm_jjj', 'jet_1_pt', 'm_jlv', 'lepton_pT', 'missing_energy_magnitude', 'lepton_eta', 'm_jj', 'jet_2_pt', 'jet_1_eta', 'jet_1_b-tag', 'm_lv', 'jet_3_pt', 'jet_2_eta', 'jet_4_pt', 'jet_2_b-tag', 'jet_3_b-tag', 'jet_4_b-tag', 'jet_3_eta', 'jet_4_eta', 'jet_3_phi', 'jet_1_phi', 'noise_11', 'jet_2_phi', 'noise_1', 'noise_8', 'noise_27', 'noise_16', 'noise_13', 'noise_22', 'noise_25', 'noise_5', 'noise_17', 'noise_3', 'noise_15', 'noise_7', 'noise_6', 'missing_energy_phi', 'jet_4_phi', 'noise_24', 'noise_21', 'noise_18', 'lepton_phi', 'noise_26', 'noise_14', 'noise_10', 'noise_9', 'noise_23', 'noise_28', 'noise_19', 'noise_12', 'noise_2', 'noise_20', 'noise_4']","[0.0958, 0.0739, 0.0712, 0.0432, 0.0417, 0.0376, 0.0374, 0.0241, 0.0239, 0.0235, 0.0177, 0.012, 0.0087, 0.0086, 0.0083, 0.006, 0.0059, 0.0053, 0.0047, 0.0044, 0.0039, 0.0027, 0.0009, 0.0009, 0.0008, 0.0007, 0.0006, 0.0005, 0.0005, 0.0005, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0003, 0.0003, 0.0003, 0.0003, 0.0003, 0.0002, 0.0002, 0.0002, 0.0002, 0.0002, 0.0001, 0.0001, 0.0001, 0.0001, -0.0001, -0.0001, -0.0002, -0.0003, -0.0003, -0.0003, -0.0004]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0005, 0.0001, 0.0001, 0.0, 0.0028, 0.0014, 0.011, 0.0005, 0.0554, 0.0858, 0.0141, 0.0533, 0.0789, 0.0936, 0.0717, 0.0611, 0.1379, 0.1425, 0.1864, 0.0225, 0.1475, 0.1727, 0.2416, 0.2328, 0.2505, 0.2875, 0.0977, 0.0854, 0.278, 0.2657, 0.3552, 0.37, 0.1987, 0.5787, 0.7223, 0.7993, 0.8435, 0.8215, 0.7835, 0.9117]",0.7597,0.7592
higgs,normal_hard,BaggedNNFastAiTabularModel,0,"['m_bb', 'm_wbb', 'm_wwbb', 'm_jjj', 'jet_1_pt', 'lepton_pT', 'm_jlv', 'm_jj', 'missing_energy_magnitude', 'jet_2_pt', 'lepton_eta', 'jet_1_eta', 'jet_1_b-tag', 'jet_3_pt', 'm_lv', 'jet_2_eta', 'jet_2_b-tag', 'jet_4_pt', 'jet_3_b-tag', 'jet_4_b-tag', 'jet_3_eta', 'jet_4_eta', 'missing_energy_phi', 'noise_12', 'noise_28', 'jet_1_phi', 'noise_15', 'noise_3', 'lepton_phi', 'noise_16', 'noise_8', 'noise_4', 'noise_18', 'noise_7', 'noise_10', 'noise_26', 'noise_9', 'noise_19', 'noise_2', 'noise_27', 'noise_24', 'noise_25', 'jet_4_phi', 'jet_3_phi', 'noise_23', 'noise_13', 'noise_17', 'noise_20', 'noise_21', 'noise_6', 'noise_5', 'noise_1', 'noise_14', 'noise_22', 'jet_2_phi', 'noise_11']","[0.0975, 0.077, 0.0727, 0.0469, 0.043, 0.0401, 0.0374, 0.0262, 0.0247, 0.0232, 0.0218, 0.0128, 0.0128, 0.0099, 0.0095, 0.0077, 0.0066, 0.0052, 0.0048, 0.0033, 0.0028, 0.0021, 0.0005, 0.0005, 0.0005, 0.0005, 0.0004, 0.0003, 0.0002, 0.0002, 0.0001, 0.0001, 0.0001, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0001, -0.0001, -0.0001, -0.0001, -0.0001, -0.0001, -0.0002, -0.0002, -0.0002, -0.0002, -0.0002, -0.0003, -0.0003, -0.0004, -0.0004, -0.0005, -0.0005, -0.0006]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0002, 0.0002, 0.0016, 0.0005, 0.0723, 0.1968, 0.0594, 0.1139, 0.102, 0.0908, 0.231, 0.3429, 0.2781, 0.2565, 0.1866, 0.4589, 0.4576, 0.5275, 0.6245, 0.5419, 0.6012, 0.6242, 0.5803, 0.5943, 0.6106, 0.5824, 0.6708, 0.7025, 0.7437, 0.769, 0.7741, 0.8067, 0.8724, 0.965, 0.986, 0.8931, 0.9519, 0.983]",0.7572,0.7598
higgs,shuffle_easy,LGBModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'jet_1_pt', 'm_jjj', 'm_jlv', 'lepton_pT', 'missing_energy_magnitude', 'jet_2_pt', 'lepton_eta', 'm_jj', 'm_lv', 'jet_2_b-tag', 'jet_3_pt', 'jet_4_pt', 'jet_4_b-tag', 'jet_1_b-tag', 'jet_3_eta', 'jet_4_eta', 'jet_1_eta', 'jet_2_eta', 'jet_3_b-tag', 'jet_2_phi', 'jet_1_phi', 'jet_3_phi', 'missing_energy_phi', 'jet_4_phi', 'lepton_phi', 'noise_4', 'noise_6', 'noise_2', 'noise_1', 'noise_5', 'noise_3']","[0.0972, 0.0694, 0.0564, 0.0305, 0.0291, 0.0253, 0.021, 0.012, 0.0114, 0.0107, 0.0094, 0.0058, 0.0045, 0.0044, 0.0039, 0.0033, 0.0032, 0.0027, 0.0026, 0.0026, 0.0024, 0.0022, 0.0012, 0.0012, 0.0012, 0.0012, 0.0008, 0.0008, 0.0005, 0.0004, 0.0004, 0.0002, -0.0, -0.0002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0002, 0.0, 0.0004, 0.0003, 0.0009, 0.0011, 0.0035, 0.0006, 0.0001, 0.005, 0.0031, 0.0076, 0.0059, 0.0084, 0.0266, 0.0064, 0.0941, 0.1532, 0.0999, 0.2255, 0.3614, 0.5366, 0.674]",0.7473,0.7462
higgs,shuffle_easy,BaggedLGBModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'm_jjj', 'jet_1_pt', 'm_jlv', 'lepton_pT', 'm_jj', 'jet_2_pt', 'missing_energy_magnitude', 'lepton_eta', 'm_lv', 'jet_3_pt', 'jet_1_eta', 'jet_4_pt', 'jet_2_eta', 'jet_3_eta', 'jet_4_eta', 'jet_3_phi', 'lepton_phi', 'jet_2_phi', 'jet_1_phi', 'missing_energy_phi', 'jet_4_b-tag', 'jet_4_phi', 'jet_2_b-tag', 'noise_2', 'jet_1_b-tag', 'noise_3', 'noise_6', 'noise_5', 'noise_4', 'jet_3_b-tag', 'noise_1']","[0.1169, 0.0849, 0.0768, 0.0422, 0.0398, 0.0341, 0.0328, 0.0231, 0.021, 0.0201, 0.0182, 0.0121, 0.0116, 0.0098, 0.0095, 0.0091, 0.0087, 0.0071, 0.0066, 0.0063, 0.0061, 0.0059, 0.0059, 0.0058, 0.0057, 0.0057, 0.0051, 0.005, 0.0048, 0.0046, 0.0042, 0.0041, 0.0041, 0.0038]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0001, 0.0, 0.0002, 0.0, 0.0, 0.0001, 0.0, 0.0009, 0.0]",0.7477,0.7496
higgs,shuffle_easy,NNFastAiTabularModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'm_jjj', 'jet_1_pt', 'lepton_pT', 'm_jlv', 'm_jj', 'lepton_eta', 'missing_energy_magnitude', 'jet_2_pt', 'jet_1_eta', 'jet_3_pt', 'jet_1_b-tag', 'm_lv', 'jet_4_pt', 'jet_2_eta', 'jet_3_eta', 'jet_2_b-tag', 'jet_4_b-tag', 'jet_3_b-tag', 'jet_4_eta', 'noise_4', 'noise_2', 'lepton_phi', 'noise_6', 'jet_3_phi', 'missing_energy_phi', 'jet_2_phi', 'noise_5', 'noise_3', 'noise_1', 'jet_1_phi', 'jet_4_phi']","[0.0956, 0.0724, 0.0693, 0.0411, 0.0391, 0.0377, 0.0358, 0.0227, 0.0226, 0.0219, 0.0172, 0.0099, 0.008, 0.0075, 0.0075, 0.0064, 0.0057, 0.0042, 0.0041, 0.0041, 0.0028, 0.0018, 0.0006, 0.0004, 0.0004, 0.0002, 0.0002, 0.0001, 0.0001, 0.0, -0.0, -0.0001, -0.0002, -0.0003]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0001, 0.0001, 0.0002, 0.0, 0.0001, 0.0002, 0.0001, 0.0002, 0.0009, 0.0062, 0.0042, 0.0897, 0.0704, 0.033, 0.2802, 0.3176, 0.2955, 0.4443, 0.5366, 0.6332, 0.6944, 0.8431]",0.7595,0.7581
higgs,shuffle_easy,BaggedNNFastAiTabularModel,0,"['m_bb', 'm_wbb', 'm_wwbb', 'm_jjj', 'jet_1_pt', 'lepton_pT', 'm_jlv', 'm_jj', 'missing_energy_magnitude', 'lepton_eta', 'jet_2_pt', 'jet_1_eta', 'jet_1_b-tag', 'm_lv', 'jet_3_pt', 'jet_2_eta', 'jet_4_pt', 'jet_2_b-tag', 'jet_4_b-tag', 'jet_3_b-tag', 'jet_3_eta', 'jet_4_eta', 'jet_3_phi', 'noise_2', 'noise_5', 'noise_4', 'missing_energy_phi', 'jet_4_phi', 'jet_2_phi', 'noise_3', 'jet_1_phi', 'noise_1', 'noise_6', 'lepton_phi']","[0.1004, 0.0774, 0.0753, 0.0468, 0.0415, 0.0391, 0.0371, 0.0241, 0.0232, 0.0219, 0.0198, 0.0118, 0.0114, 0.0091, 0.0089, 0.0067, 0.0062, 0.0053, 0.0046, 0.0034, 0.0024, 0.0024, 0.0006, 0.0004, 0.0003, 0.0001, -0.0, -0.0, -0.0001, -0.0001, -0.0001, -0.0002, -0.0002, -0.0004]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0001, 0.0004, 0.0002, 0.0059, 0.0212, 0.0052, 0.0069, 0.0207, 0.3014, 0.4156, 0.5, 0.5317, 0.6765, 0.6743, 0.6262, 0.8258, 0.984, 0.8937]",0.7589,0.761
higgs,shuffle_hard,LGBModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'jet_1_pt', 'm_jjj', 'm_jlv', 'lepton_pT', 'missing_energy_magnitude', 'jet_2_pt', 'lepton_eta', 'm_jj', 'jet_2_b-tag', 'm_lv', 'jet_3_pt', 'jet_4_pt', 'jet_2_eta', 'jet_4_b-tag', 'jet_4_eta', 'jet_3_eta', 'jet_3_b-tag', 'jet_1_b-tag', 'jet_1_eta', 'jet_3_phi', 'noise_6', 'noise_20', 'noise_28', 'jet_4_phi', 'noise_15', 'lepton_phi', 'noise_23', 'noise_14', 'noise_26', 'noise_2', 'jet_2_phi', 'noise_4', 'jet_1_phi', 'noise_19', 'noise_10', 'noise_27', 'noise_22', 'noise_25', 'noise_11', 'noise_17', 'noise_13', 'noise_24', 'noise_12', 'noise_21', 'missing_energy_phi', 'noise_9', 'noise_16', 'noise_18', 'noise_3', 'noise_7', 'noise_1', 'noise_8', 'noise_5']","[0.0957, 0.0696, 0.0575, 0.0288, 0.0282, 0.0219, 0.0211, 0.012, 0.0107, 0.0096, 0.009, 0.0049, 0.0044, 0.0037, 0.0037, 0.0027, 0.0027, 0.0027, 0.0026, 0.0026, 0.0026, 0.0024, 0.0009, 0.0008, 0.0007, 0.0007, 0.0006, 0.0005, 0.0005, 0.0005, 0.0005, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0003, 0.0002, 0.0002, 0.0002, 0.0001, 0.0001, 0.0001, 0.0001, -0.0, -0.0, -0.0001, -0.0002, -0.0002, -0.0002, -0.0002, -0.0002, -0.0003, -0.0003, -0.0003, -0.0009]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0003, 0.0002, 0.0006, 0.0006, 0.0029, 0.0001, 0.0018, 0.0301, 0.01, 0.0753, 0.0653, 0.1145, 0.1236, 0.1281, 0.1626, 0.1679, 0.1556, 0.1663, 0.1554, 0.2163, 0.2679, 0.1644, 0.1685, 0.3055, 0.3207, 0.3633, 0.3468, 0.3882, 0.4141, 0.2472, 0.3319, 0.5281, 0.5182, 0.7246, 0.6508, 0.8856, 0.6414, 0.6639, 0.6704, 0.7078, 0.6636, 0.8145, 0.9079]",0.7454,0.7447
higgs,shuffle_hard,BaggedLGBModel,0,"['m_bb', 'm_wwbb', 'm_wbb', 'm_jjj', 'jet_1_pt', 'm_jlv', 'lepton_pT', 'm_jj', 'jet_2_pt', 'missing_energy_magnitude', 'lepton_eta', 'jet_3_pt', 'm_lv', 'jet_1_eta', 'jet_4_pt', 'jet_3_eta', 'jet_2_eta', 'jet_4_eta', 'jet_2_phi', 'lepton_phi', 'noise_24', 'noise_16', 'jet_3_phi', 'jet_1_phi', 'jet_4_b-tag', 'noise_11', 'noise_8', 'jet_4_phi', 'missing_energy_phi', 'noise_12', 'noise_26', 'noise_20', 'noise_5', 'noise_3', 'noise_10', 'noise_28', 'noise_4', 'noise_22', 'jet_3_b-tag', 'noise_2', 'noise_14', 'jet_2_b-tag', 'noise_1', 'noise_19', 'noise_7', 'noise_18', 'noise_6', 'jet_1_b-tag', 'noise_23', 'noise_15', 'noise_25', 'noise_27', 'noise_21', 'noise_9', 'noise_13', 'noise_17']","[0.1191, 0.0926, 0.0802, 0.0445, 0.0438, 0.037, 0.0343, 0.0233, 0.0214, 0.0205, 0.0192, 0.0123, 0.0121, 0.011, 0.0103, 0.0102, 0.009, 0.0083, 0.0071, 0.007, 0.0066, 0.0065, 0.0064, 0.0063, 0.0063, 0.0062, 0.0061, 0.0061, 0.006, 0.0058, 0.0057, 0.0057, 0.0056, 0.0055, 0.0054, 0.0054, 0.0053, 0.0053, 0.0053, 0.0053, 0.0052, 0.0052, 0.0051, 0.005, 0.005, 0.0048, 0.0048, 0.0047, 0.0046, 0.0046, 0.0045, 0.0039, 0.0006, 0.0004, 0.0004, 0.0003]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0104, 0.032, 0.0471]",0.7434,0.7449
higgs,shuffle_hard,NNFastAiTabularModel,0,"['m_bb', 'm_wbb', 'm_wwbb', 'jet_1_pt', 'lepton_pT', 'm_jjj', 'm_jlv', 'missing_energy_magnitude', 'lepton_eta', 'm_jj', 'jet_2_pt', 'jet_1_eta', 'jet_1_b-tag', 'jet_3_pt', 'm_lv', 'jet_4_pt', 'jet_2_eta', 'jet_2_b-tag', 'jet_3_b-tag', 'jet_3_eta', 'jet_4_b-tag', 'jet_4_eta', 'noise_24', 'noise_14', 'noise_5', 'noise_8', 'noise_7', 'noise_6', 'jet_1_phi', 'noise_21', 'missing_energy_phi', 'noise_11', 'noise_28', 'noise_13', 'noise_25', 'noise_20', 'jet_2_phi', 'noise_27', 'noise_26', 'noise_23', 'noise_10', 'noise_17', 'noise_19', 'noise_18', 'noise_15', 'lepton_phi', 'jet_4_phi', 'noise_16', 'noise_4', 'noise_22', 'jet_3_phi', 'noise_1', 'noise_2', 'noise_3', 'noise_9', 'noise_12']","[0.0959, 0.0723, 0.0662, 0.0404, 0.0383, 0.0379, 0.0363, 0.0243, 0.0228, 0.0219, 0.0187, 0.0108, 0.0086, 0.0084, 0.0075, 0.0064, 0.0062, 0.005, 0.0047, 0.0046, 0.0035, 0.0024, 0.0005, 0.0005, 0.0005, 0.0005, 0.0004, 0.0004, 0.0004, 0.0004, 0.0003, 0.0003, 0.0003, 0.0002, 0.0002, 0.0002, 0.0002, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0001, -0.0001, -0.0001, -0.0001, -0.0002, -0.0002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0001, 0.0001, 0.0002, 0.0002, 0.0001, 0.0027, 0.0441, 0.093, 0.1257, 0.1037, 0.0977, 0.0909, 0.0369, 0.1124, 0.1265, 0.1659, 0.1503, 0.1142, 0.0904, 0.2238, 0.3155, 0.0331, 0.3346, 0.3028, 0.3273, 0.3814, 0.3819, 0.3427, 0.2481, 0.2543, 0.4505, 0.4397, 0.4785, 0.5, 0.5538, 0.5573, 0.6338, 0.6132, 0.7783, 0.7313]",0.7587,0.7579
