model,mean_normal_easy,mean_normal_hard,mean_shuffle_easy,mean_shuffle_hard
LGBModel,0.9100529100529101,0.8449735449735449,0.9100529100529101,0.8312169312169312
BaggedLGBModel,0.8380952380952381,0.7846560846560846,0.8843915343915343,0.8238095238095238
NNFastAiTabularModel,0.9314814814814815,0.8420634920634921,0.902910052910053,0.7923280423280423
BaggedNNFastAiTabularModel,0.8994708994708993,0.8597883597883598,0.9457671957671959,0.8029100529100528
